D3,HR,TILT,FQ,OBS,RSRP
1020.811932,3.605263158,5.6,2600,1,-91
1001.784907,2.74,5,2600,0,-91
985.1197897,2.914893617,5.3,2600,0,-93
971.1791802,2.914893617,5.3,2600,0,-95
772.4467619,4.566666667,8,2600,0,-100
763.5345441,4.566666667,8.1,2600,0,-100
750.6650385,4.566666667,8.3,2600,1,-95
738.5025389,4.28125,8.3,2600,1,-99
722.6686654,4.28125,8.5,2600,1,-103
708.672703,4.151515152,8.5,2600,1,-101
695.1294843,4.419354839,8.9,2600,1,-103
682.2843982,4.419354839,9,2600,0,-97
667.6301371,4.566666667,9.4,2600,0,-102
658.748055,4.566666667,9.5,2600,0,-102
644.1187779,4.724137931,9.8,2600,0,-101
632.291863,4.724137931,10,2600,1,-99
620.2983153,4.566666667,10.1,2600,0,-93
614.3891275,4.566666667,10.2,2600,0,-93
608.4817171,4.566666667,10.3,2600,0,-97
603.208919,4.28125,10.2,2600,0,-100
592.737716,4.566666667,10.6,2600,0,-100
588.8038723,4.566666667,10.7,2600,0,-102
582.7220607,4.419354839,10.7,2600,0,-99
574.8573736,4.419354839,10.8,2600,0,-104
568.5921209,4.151515152,10.7,2600,0,-108
562.6944108,4.151515152,10.8,2600,0,-114
558.9508028,4.28125,11,2600,0,-110
558.7638141,4.151515152,10.9,2600,0,-110
560.5443783,4.029411765,10.8,2600,0,-112
560.5443783,4.029411765,10.8,2600,0,-112
570.3770683,4.029411765,10.6,2600,0,-109
582.1838198,4.029411765,10.4,2600,0,-109
593.9983165,4.029411765,10.1,2600,0,-116
628.0127387,3.702702703,9.3,1800,0,-102
640.0890563,3.261904762,8.6,1800,0,-102
646.0232194,3.261904762,8.6,1800,0,-94
647.0123646,3.261904762,8.5,1800,0,-93
655.4883676,3.044444444,8.2,1800,0,-95
669.3526724,3.044444444,8,1800,0,-93
683.3578857,3.113636364,7.9,1800,0,-89
694.257157,3.113636364,7.8,1800,0,-101
865.2727894,4.151515152,7,2600,0,-100
859.0768301,3.914285714,6.9,2600,0,-104
821.1120508,3.702702703,7.1,2600,0,-92
809.0797241,3.605263158,7.1,2600,1,-95
804.1175287,3.605263158,7.1,2600,0,-95
797.1712489,3.605263158,7.2,2600,0,-90
672.7414065,3.261904762,8.2,2600,1,-90
660.8638286,3.261904762,8.3,2600,0,-90
653.9373059,3.261904762,8.4,2600,1,-90
646.17103,3.341463415,8.6,2600,1,-90
640.2382369,3.341463415,8.7,2600,1,-90
634.1561322,3.261904762,8.7,2600,1,-90
560.2758249,2.914893617,9.4,2600,1,-91
548.9380657,2.74,9.2,2600,1,-91
544.3252704,2.854166667,9.5,2600,0,-91
539.3931776,2.854166667,9.6,2600,1,-89
532.3241494,2.795918367,9.7,2600,1,-89
526.4076367,2.795918367,9.8,2600,1,-91
518.5219378,2.795918367,9.9,2600,0,-91
509.1453623,2.634615385,9.7,2600,0,-93
466.0922655,2.446428571,10.2,2600,1,-96
446.6866911,2.283333333,10.1,2600,0,-96
426.0164316,2.283333333,10.6,2600,0,-95
416.185055,2.283333333,10.9,2600,0,-95
405.3800686,2.283333333,11.1,2600,0,-97
395.5666821,2.283333333,11.4,2600,0,-97
386.7428086,2.283333333,11.7,2600,1,-100
367.3268299,2.140625,11.7,2600,0,-98
353.6170245,2.140625,12.2,2600,0,-95
336.0252967,2.140625,12.9,2600,0,-95
